Chemical_Name,Skin_Type,Description
aloe barbadenis,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"ethylhexyl methoxycinnamate',",Combination Skin,"An emollient and thickening agent that can hydrate dry skin, but may be comedogenic for oily skin types."
cocos nucifera,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"butyrospermum parkii',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
anthemis nobilis,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"ethylhexyl methoxycinnamate',",Combination Skin,"An emollient and thickening agent that can hydrate dry skin, but may be comedogenic for oily skin types."
aloe barbadenis,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"homosalate', 'octocrylene',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
prunus armeniaca,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'alcohol",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"propanediol', 'diheptyl",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"peg-8', 'dicaprylyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"homosalate', 'tapioca",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"squalene', 'glycerin',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"ammonium lactate',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'capric",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"ethylhexyl salicylate',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
aloe barbadenis,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'cetearyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
glyceryl stearate,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'isododecane',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dimethicon', 'glycerin',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"propanediol', 'acetyl",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'lactococcus",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propanediol', 'pinus",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
bifida ferment,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
bifida ferment,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"sodium hyaluronate',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'algae",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
peg/ppg/polybutylene glycol-8/5/3,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"ascorbic acid',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'glycolic",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cyclopentasiloxane', 'dimethicon',",Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
"panthenol', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycereth-7', 'bis-peg-18",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'hydrolyzed",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'acacia",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"isononyl isononanoate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cyclopentasiloxane', 'dimethicon",Dry Skin,A natural emollient that helps to hydrate and soften dry skin.
"glycerin', 'dihydroxyacetone',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'isostearyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"isocetyl stearate',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"cyclopentasiloxane', 'dimethicon',",Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
"cyclopentasiloxane', 'dimethicon",Dry Skin,A natural emollient that helps to hydrate and soften dry skin.
peg/ppg/polybutylene glycol-8/5/3,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'glycolic",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"propanediol', 'betaine',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
bifida ferment,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'alcohol",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'alcohol",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"propanediol', 'peg-6',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
citrus aurantium,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cyclopentasiloxane', 'isononyl',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"homosalate', 'alcohol",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'ammonium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"butylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"cyclopentasiloxane', 'squalene',",Dry Skin,A natural emollient that helps to hydrate and soften dry skin.
"cyclopentasiloxane', 'cyclohexasiloxane',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"squalene', 'butylene",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'lactobacillus',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
helianthus annuus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'dimethicon',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"water\\aqua\\eau ',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
macadamia ternifolia,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
prunus amygdalus,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
bifida ferment,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
bifida ferment,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
bifida ferment,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
bifida ferment,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propolis extract',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"disodium edta',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"niacinamide', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'pentylene",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
bifida ferment,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cyclopentasiloxane', 'dimethicon',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dimethicon', 'polysilicone-11',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
corylus avellana,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"cyclopentasiloxane', 'isopropyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
citrus aurantium,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"propanediol', 'glycerin',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'simmondsia",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', '3-o-ethyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dimethicon', 'butylene",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"peg-8', 'butylene",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cyclopentasiloxane', 'dimethicon/vinyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'heptyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
rosa canina,Dry Skin,A natural emollient that helps to hydrate and soften dry skin.
"squalene', 'glycerin',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"isononyl isononanoate',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"ethanol', 'bis-peg-18",Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
"sodium hyaluronate',",Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
"hamamelis virginiana',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cyclopentasiloxane',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
glycine soja,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"dipropylene glycol',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
shea butter,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"cyclohexasiloxane', 'glycerin',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"coco-caprylate', 'glyceryl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'pentylene",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"polysorbate-20', 'xylitylglucoside',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"water\\aqua\\eau ',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'hydroxyethyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cyclopentasiloxane', 'helianthus",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'cyclopentasiloxane',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"rosa damascena',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"dimethicon', 'isododecane',",Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"propanediol', 'glycerin',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'alcohol",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cyclopentasiloxane', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'alcohol",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
simmondsia chinensis,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"hamamelis virginiana',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycolic acid',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
olea europaea,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
olea europaea,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
olea europaea,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
rosa canina,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"cetyl ethylhexanoate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
helianthus annuus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"coco-caprylate', 'macadamia",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"coco-caprylate', 'macadamia",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dihydroxyacetone', 'castor",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
prunus amygdalus,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"coco-caprylate', 'macadamia",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
helianthus annuus,Dry Skin,A natural emollient that helps to hydrate and soften dry skin.
oryza sativa,Combination Skin,Salicylate helps exfoliate the skin and reduce oiliness. Suitable for combination skin types.
prunus amygdalus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
carthamus tinctorius,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"glycerin', 'dihydroxyacetone',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
#VALUE!,Combination Skin,"Squalene helps hydrate and balance oil production, making it suitable for combination skin types."
"propanediol', 'aloe",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
prunus amygdalus,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"coco-caprylate', 'c12-15',",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
simmondsia chinensis,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'dihydroxyacetone',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
prunus armeniaca,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
prunus armeniaca,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
prunus amygdalus,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"paraffinum liquidum',",Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
glycine soja,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
rosa canina,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
prunus amygdalus,All Skin type,"Prunus Amygdalus Dulcis, or Sweet Almond Oil, is rich in fatty acids and vitamins, suitable for all skin types."
"paraffinum liquidum',",Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
boswellia carterii,All Skin type,"Prunus Amygdalus Dulcis, or Sweet Almond Oil, is rich in fatty acids and vitamins, suitable for all skin types."
"coco-caprylate', 'isoamyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
corylus avellana,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"glycerin', 'erythrulose',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
helianthus annuus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"ethylhexyl palmitate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cocoglycerides', 'ethylhexyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
prunus amygdalus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
vitis vinifera,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"cocoglycerides', 'ethylhexyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
prunus amygdalus,Dry Skin,"An essential fatty acid that helps to maintain the skin's natural barrier, beneficial for dry skin."
